classification_id,x,y,rx,ry,angle,filename
21796261, 209.97, 255.36, 107.17, 65.92, -25.05,  588017725485482087.jpg
21796262, 133.18, 136.17, 76.60, 36.60, -24.18,  587739096982880400.jpg
21796260, 222.78, 178.93, 66.26, 39.64, -0.27,  588017721723977832.jpg
