subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
14,SubjectSet_1/588010360693719113.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=172.87598771&dec=6.06613692&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588010360693719113&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j113130.23%2B060358.0&ob=ra,172.87598771,6.06613692
15,SubjectSet_1/587732578837856322.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=139.74190953&dec=5.88838692&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732578837856322&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091858.05%2B055318.1&ob=ra,139.74190953,5.88838692
16,SubjectSet_1/587739827669565549.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=226.21663418&dec=21.06945895&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739827669565549&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j150451.99%2B210410.0&ob=ra,226.21663418,21.06945895
17,SubjectSet_1/587736897961656491.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=236.68840207&dec=31.01123823&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736897961656491&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j154645.21%2B310040.4&ob=ra,236.68840207,31.01123823
18,SubjectSet_1/587733399187030023.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=252.27194977&dec=29.75876743&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733399187030023&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j164905.26%2B294531.5&ob=ra,252.27194977,29.75876743
19,SubjectSet_1/587739706880098395.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=232.32593162&dec=20.73947573&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739706880098395&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j152918.22%2B204422.1&ob=ra,232.32593162,20.73947573
20,SubjectSet_1/587733398109487201.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=244.63651178&dec=35.48620994&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733398109487201&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j161832.76%2B352910.3&ob=ra,244.63651178,35.48620994
21,SubjectSet_1/587737809035526294.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=127.02551924&dec=55.09869339&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587737809035526294&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j082806.12%2B550555.2&ob=ra,127.02551924,55.09869339
22,SubjectSet_1/587732483273392258.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=142.90242711&dec=41.317537&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732483273392258&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j093136.58%2B411903.1&ob=ra,142.90242711,41.317537
23,SubjectSet_1/587725041966972957.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=170.89666111&dec=-1.56565188&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725041966972957&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j112335.19-013356.3 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J112335.19-013356.3&ob=ra,170.89666111,-1.56565188
