dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar
587739609160417293,174.3737,32.25246,1.0,-999.0,21.908631975161935,10.370333268105599
587741489832329277,161.45752,27.61979,0.6352983218568271,-999.0,21.404376456800826,10.779565796420245
587739845929926848,240.149,15.685633,0.08206570765738991,21.451698303222656,20.02705202783004,10.580630479789031
587732580981800993,166.7065,57.68545,0.24198472994727194,19.57958221435547,19.33219556993301,10.391910143515881
587738409251635215,150.26416,11.461418,0.1018270402417598,-999.0,17.735364467213756,10.605217638002758
588011123038093364,176.29759,61.70851,0.13416513079836842,-999.0,17.968400625902028,10.335930652379464
587738411409342491,174.07,15.470237,0.07278246344520908,-999.0,16.368040841336665,10.547256371001756
588017704531853356,158.3893,11.871378,0.3964143118671501,10.825822830200195,20.20639282277144,10.427449219001383
587741601490993168,174.12704,26.86079,0.02200415016107915,13.058049201965332,17.917116671544147,10.48491549790658
587739845393186912,240.21455,15.151261,0.21039347444419923,-999.0,18.074377946319128,10.416084384090759
588017703456997422,155.8859,10.959712,0.2045565763650816,-999.0,20.780389400415594,10.393255615594354
587726032265019471,217.67639,1.8814495,0.23215214946713306,13.399030685424805,18.12178140357284,10.372688051366167
587742060557107219,234.96123,14.187394,0.11476785761298128,-999.0,16.37198990392593,10.456482552571465
587732136451702825,154.83788,49.117554,0.534714531302081,-999.0,21.569020708177312,10.94897088103507
588010360693719113,172.87599,6.066137,0.9349695820258382,19.151533126831055,21.223679044929945,10.544302227878537
587732578837856322,139.74191,5.8883867,0.034395715208285466,26.674386978149414,17.12411410788461,10.548654911179302
587739827669565549,226.21663,21.069458,0.16569423492099797,16.590959548950195,19.003310533707705,10.45578004744153
587736897961656491,236.6884,31.011238,0.8882850703667099,-999.0,24.405339091807093,10.415227238162403
587733399187030023,252.27196,29.758768,0.20193971497487653,-999.0,16.379238979176375,10.289266776225265
587739706880098395,232.32593,20.739475,0.2511370441657256,-999.0,17.036875590097345,10.611693946934786
587733398109487201,244.6365,35.48621,0.27145677906084914,-999.0,16.028151926931535,10.456058511630527
587737809035526294,127.02552,55.098694,0.18679390316908023,19.97412109375,16.45578227614793,10.600898953490631
587732483273392258,142.90242,41.317535,0.030043071794435376,15.24497127532959,17.69458880567526,10.470234848596478
587725041966972957,170.89667,-1.5656519,0.2590903377327978,-999.0,16.468271793119293,10.762789038682648
587739810487861318,216.0468,23.913588,0.3221463634802921,18.158973693847656,17.32870207835519,10.50832443106961
587738951496171572,209.67014,34.52454,0.9853972306088297,41.43239974975586,24.840653712281092,10.372080860699016
587741533840670747,126.05963,17.331963,0.756975271720784,-999.0,17.140603542703673,10.632693855382051
587741532771188879,135.85448,20.667402,0.36194723107525484,24.24573516845703,20.889258644430647,10.45567712563024
587742062151663675,197.29524,22.466335,0.9607376636846748,34.57151412963867,24.894175987431723,10.378841453554674
587731513694355564,52.62137,0.7520636,0.09899903245631105,-999.0,18.403139419216572,10.338122942503981
587739157656698907,155.92422,33.773987,0.41460332920608506,-999.0,22.713818601656147,10.436321674911667
587739809961148762,239.51158,16.347603,0.6065024968640513,-999.0,19.41905883617111,10.593545410134555
588013381670338582,184.65201,51.41472,0.5649899404120922,19.799545288085938,16.829368582534922,10.905224150113089
