subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
14,SubjectSet_20/587727867255259514.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=118.04149349&dec=38.01895825&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587727867255259514&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j075209.95%2B380108.2&ob=ra,118.04149349,38.01895825
15,SubjectSet_20/587739098597752851.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=178.00943445&dec=38.02020568&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739098597752851&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j115202.26%2B380112.7&ob=ra,178.00943445,38.02020568
16,SubjectSet_20/587732054318645368.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=136.42910966&dec=41.07500304&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732054318645368&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j090542.98%2B410430.0&ob=ra,136.42910966,41.07500304
17,SubjectSet_20/588298664647393452.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=184.63556327&dec=48.67442436&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588298664647393452&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j121832.53%2B484027.9&ob=ra,184.63556327,48.67442436
18,SubjectSet_20/587739505542496380.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=181.73716496&dec=32.44961882&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739505542496380&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j120656.91%2B322658.6&ob=ra,181.73716496,32.44961882
19,SubjectSet_20/587733398115778873.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=255.71737181&dec=24.85170026&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733398115778873&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j170252.16%2B245106.1&ob=ra,255.71737181,24.85170026
20,SubjectSet_20/588009368547754002.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=140.12236209&dec=55.10917283&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588009368547754002&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092029.36%2B550633.0&ob=ra,140.12236209,55.10917283
21,SubjectSet_20/587729229293944938.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=223.06669945&dec=63.30964691&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729229293944938&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j145216.00%2B631834.7&ob=ra,223.06669945,63.30964691
22,SubjectSet_20/587739646735483093.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=143.5051612&dec=24.89512516&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739646735483093&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j093401.23%2B245342.4&ob=ra,143.5051612,24.89512516
23,SubjectSet_20/587741421639041202.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=132.80829782&dec=21.71583856&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741421639041202&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j085113.99%2B214257.0&ob=ra,132.80829782,21.71583856
24,SubjectSet_20/587741708328435967.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=132.67553378&dec=17.09276963&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741708328435967&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j085042.12%2B170533.9&ob=ra,132.67553378,17.09276963
25,SubjectSet_20/587733604793385070.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=217.7121987&dec=55.84758025&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733604793385070&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j143050.92%2B555051.2&ob=ra,217.7121987,55.84758025
26,SubjectSet_20/588016527171911805.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=152.22441031&dec=40.10573168&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588016527171911805&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j100853.85%2B400620.6&ob=ra,152.22441031,40.10573168
27,SubjectSet_20/587729653423014004.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=250.31305949&dec=39.29008384&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729653423014004&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j164115.13%2B391724.3&ob=ra,250.31305949,39.29008384
28,SubjectSet_20/587730022789939355.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=215.85084384&dec=6.62142973&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587730022789939355&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142324.20%2B063717.1&ob=ra,215.85084384,6.62142973
29,SubjectSet_20/588017703478821016.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=206.72432923&dec=11.61735311&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017703478821016&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j134653.83%2B113702.4&ob=ra,206.72432923,11.61735311
30,SubjectSet_20/587739609707249743.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=201.39826412&dec=31.93025255&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739609707249743&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j132535.58%2B315548.9&ob=ra,201.39826412,31.93025255
31,SubjectSet_20/587741490375163915.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=176.81791665&dec=29.87814618&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741490375163915&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j114716.29%2B295241.3&ob=ra,176.81791665,29.87814618
32,SubjectSet_20/587739406788198536.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=201.56668142&dec=33.59466714&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739406788198536&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j132616.00%2B333540.8&ob=ra,201.56668142,33.59466714
33,SubjectSet_20/587736915139100798.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=213.60929972&dec=12.62401725&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736915139100798&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141426.23%2B123726.4&ob=ra,213.60929972,12.62401725
34,SubjectSet_20/588011096725389404.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=169.46068806&dec=60.74623388&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588011096725389404&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j111750.56%2B604446.4&ob=ra,169.46068806,60.74623388
35,SubjectSet_20/587733429774123108.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=232.15810639&dec=50.84084539&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733429774123108&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j152837.94%2B505027.0&ob=ra,232.15810639,50.84084539
36,SubjectSet_20/587725993573679329.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=249.08091053&dec=46.2451894&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725993573679329&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j163619.41%2B461442.6&ob=ra,249.08091053,46.2451894
