subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
15,SubjectSet_5/587732582053642405S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=158.74237623&dec=57.12916493&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732582053642405&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j103458.17%2B570744.9&ob=ra,158.74237623,57.12916493
16,SubjectSet_3/587735241710108749D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=127.51185008&dec=29.28312933&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735241710108749&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j083002.84%2B291659.2&ob=ra,127.51185008,29.28312933
18,SubjectSet_6/587729231441821939S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=248.57221637&dec=45.81686417&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729231441821939&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j163417.33%2B454900.7&ob=ra,248.57221637,45.81686417
19,SubjectSet_2/587725551731736880S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=119.18216851&dec=44.85671324&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587725551731736880&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j075643.72%2B445124.1&ob=ra,119.18216851,44.85671324
20,SubjectSet_1/587729231979872444S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=251.10131094&dec=43.73070922&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729231979872444&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j164424.31%2B434350.5&ob=ra,251.10131094,43.73070922
21,SubjectSet_4/587739381525971104D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=221.95797747&dec=29.5031678&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739381525971104&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j144749.91%2B293011.4&ob=ra,221.95797747,29.5031678
21,SubjectSet_5/587741602566045849S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=177.51784318&dec=27.81848614&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741602566045849&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j115004.28%2B274906.5&ob=ra,177.51784318,27.81848614
22,SubjectSet_5/587739607561666674D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=206.02190156&dec=29.55611043&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739607561666674&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j134405.25%2B293321.9&ob=ra,206.02190156,29.55611043
23,SubjectSet_1/587731514216087624D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=18.17545985&dec=1.14422997&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731514216087624&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j011242.11%2B010839.2&ob=ra,18.17545985,1.14422997
24,SubjectSet_2/587742015431639136D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=185.52704211&dec=23.60872376&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742015431639136&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j122206.49%2B233631.4&ob=ra,185.52704211,23.60872376
