Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0.000000, 113.633720, 41.215256, 0.845740, 1.000000, 0.000000, 0.023000, 0.977000, 0.100000
0.000000, 233.995346, 6.382573, 0.899791, 1.000000, 0.000000, 0.405000, 0.595000, 0.167000
0.000000, 129.201813, 52.715481, 0.929007, 1.000000, 0.000000, 0.075000, 0.925000, 0.167000
0.000000, 177.291367, 55.699177, 0.954529, 1.000000, 0.000000, 0.357000, 0.643000, 0.111000
0.000000, 230.030914, 11.867590, 0.977000, 1.000000, 0.000000, 0.143000, 0.857000, 0.026000
0.000000, 214.777954, 47.754120, 0.976000, 1.000000, 0.000000, 0.525000, 0.475000, 0.077000
0.000000, 213.033402, 55.229980, 1.000000, 1.000000, 0.000000, 0.037000, 0.963000, 0.000000
0.000000, 196.312225, 17.472366, 0.962000, 1.000000, 0.000000, 0.216000, 0.784000, 0.200000
0.000000, 199.182037, -0.957441, 0.937020, 1.000000, 0.000000, 0.122000, 0.878000, 0.000000
0.000000, 145.249390, 27.770796, 0.950624, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000
0.000000, 140.670410, 2.111543, 0.936924, 1.000000, 0.000000, 0.202000, 0.798000, 0.167000
0.000000, 226.007553, 7.750627, 0.939820, 1.000000, 0.000000, 0.255000, 0.745000, 0.211000
0.000000, 144.179703, 50.880432, 0.920484, 1.000000, 0.000000, 0.417000, 0.583000, 0.083000
0.000000, 250.078735, 26.371529, 0.760493, 1.000000, 0.000000, 0.105000, 0.895000, 0.000000
0.000000, 184.450058, 54.517250, 0.804584, 1.000000, 0.000000, 0.121000, 0.879000, 0.125000
0.000000, 198.415482, 48.626335, 0.961270, 1.000000, 0.000000, 0.031000, 0.969000, 0.000000
0.000000, 220.321686, 20.664736, 0.820586, 1.000000, 0.000000, 0.172000, 0.828000, 0.000000
0.000000, 244.572571, 41.423256, 0.972052, 1.000000, 0.000000, 0.243000, 0.757000, 0.200000
0.000000, 133.229126, 3.152330, 0.886332, 1.000000, 0.000000, 0.231000, 0.769000, 0.000000
0.000000, 129.384079, 29.077152, 0.933000, 1.000000, 0.000000, 0.286000, 0.714000, 0.263000
0.000000, 125.459389, 41.876278, 0.829795, 1.000000, 0.000000, 0.103000, 0.897000, 0.080000
0.000000, 228.848816, 16.516085, 0.838000, 1.000000, 0.000000, 0.194000, 0.806000, 0.000000
0.000000, 117.885445, 48.230133, 0.926000, 1.000000, 0.000000, 0.362000, 0.638000, 0.000000
0.000000, 229.198059, 4.926767, 0.867996, 1.000000, 0.000000, 0.029000, 0.971000, 0.077000
0.000000, 167.951660, 32.389854, 0.946000, 1.000000, 0.000000, 0.657000, 0.343000, 0.000000
0.000000, 185.543243, 8.532505, 0.682500, 1.000000, 0.000000, 0.179000, 0.821000, 0.280000
0.000000, 218.448685, 42.781971, 0.974000, 1.000000, 0.000000, 0.541000, 0.459000, 0.125000
0.000000, 176.043518, 29.757607, 0.949650, 1.000000, 0.000000, 0.106000, 0.894000, 0.000000
0.000000, 182.001328, 53.773319, 0.940000, 1.000000, 0.000000, 0.312000, 0.688000, 0.000000
0.000000, 181.188492, 53.790195, 0.964224, 1.000000, 0.000000, 0.343000, 0.657000, 0.000000
0.000000, 146.556198, 57.366554, 0.978021, 1.000000, 0.000000, 0.565000, 0.435000, 0.000000
0.000000, 169.427292, 27.844353, 0.832692, 1.000000, 0.000000, 0.480000, 0.520000, 0.167000
0.000000, 132.562515, 53.675545, 0.968000, 1.000000, 0.000000, 0.267000, 0.733000, 0.200000
0.000000, 177.528397, 53.419823, 0.936056, 1.000000, 0.000000, 0.310000, 0.690000, 0.091000
0.000000, 132.644333, 55.539742, 0.999000, 1.000000, 0.000000, 0.258000, 0.742000, 0.100000
0.000000, 151.693207, 48.630661, 0.875069, 1.000000, 0.000000, 0.185000, 0.815000, 0.038000
0.000000, 248.934403, 27.486874, 0.670677, 1.000000, 0.000000, 0.000000, 1.000000, 0.098000
0.000000, 246.701813, 14.310715, 0.909689, 1.000000, 0.000000, 0.390000, 0.610000, 0.200000
0.000000, 146.729401, 34.011269, 0.705993, 1.000000, 0.000000, 0.042000, 0.958000, 0.000000
0.000000, 151.378571, 37.042030, 0.945756, 1.000000, 0.000000, 0.314000, 0.686000, 0.250000
0.000000, 154.457703, -0.829302, 0.887195, 1.000000, 0.000000, 0.103000, 0.897000, 0.000000
0.000000, 227.523697, 17.664917, 1.000000, 1.000000, 0.000000, 0.292000, 0.708000, 0.000000
0.000000, 148.633347, 6.817396, 0.770146, 1.000000, 0.000000, 0.459000, 0.541000, 0.000000
0.000000, 161.101990, 4.748411, 0.968031, 1.000000, 0.000000, 0.323000, 0.677000, 0.200000
0.000000, 201.398270, 31.930252, 0.912672, 1.000000, 0.000000, 0.355000, 0.645000, 0.143000
0.000000, 122.580650, 41.572933, 0.971000, 1.000000, 0.000000, 0.030000, 0.970000, 0.000000
0.000000, 237.881882, 52.094810, 0.937997, 1.000000, 0.000000, 0.054000, 0.946000, 0.114000
0.000000, 231.257416, 33.695541, 0.825231, 1.000000, 0.000000, 0.394000, 0.606000, 0.250000
0.000000, 211.422684, 46.427448, 0.970125, 1.000000, 0.000000, 0.410000, 0.590000, 0.139000
0.000000, 224.414291, 10.199151, 0.923520, 1.000000, 0.000000, 0.200000, 0.800000, 0.000000
0.000000, 239.930542, 2.415466, 0.929000, 1.000000, 0.000000, 0.359000, 0.641000, 0.000000
0.000000, 198.162750, 34.065083, 0.928762, 1.000000, 0.000000, 0.128000, 0.872000, 0.200000
0.000000, 340.068329, -0.336122, 0.886000, 1.000000, 0.000000, 0.049000, 0.951000, 0.216000
0.000000, 234.669769, 17.666815, 0.969000, 1.000000, 0.000000, 0.290000, 0.710000, 0.100000
0.000000, 236.216980, 41.033089, 0.953552, 1.000000, 0.000000, 0.024000, 0.976000, 0.000000
0.000000, 227.844070, 1.716205, 0.976000, 1.000000, 0.000000, 0.604000, 0.396000, 0.000000
0.000000, 184.302170, 62.825684, 0.845616, 1.000000, 0.000000, 0.030000, 0.970000, 0.000000
0.000000, 253.983810, 24.687675, 0.967000, 1.000000, 0.000000, 0.241000, 0.759000, 0.000000
0.000000, 187.489090, 23.381306, 0.973000, 1.000000, 0.000000, 0.333000, 0.667000, 0.000000
0.000000, 153.048996, 45.142174, 0.918566, 1.000000, 0.000000, 0.676000, 0.324000, 0.250000
0.000000, 196.501816, 43.769012, 0.932000, 1.000000, 0.000000, 0.280000, 0.720000, 0.000000
0.000000, 225.786148, 42.647778, 0.777273, 1.000000, 0.000000, 0.250000, 0.750000, 0.091000
0.000000, 212.632309, 54.607685, 0.970000, 1.000000, 0.000000, 0.043000, 0.957000, 0.316000
0.000000, 182.469284, 56.744827, 0.898304, 1.000000, 0.000000, 0.704000, 0.296000, 0.000000
0.000000, 127.766777, 31.191212, 0.978000, 1.000000, 0.000000, 0.178000, 0.822000, 0.200000
0.000000, 115.870003, 44.430584, 0.812493, 1.000000, 0.000000, 0.136000, 0.864000, 0.000000
0.000000, 225.852249, 11.143695, 0.897054, 1.000000, 0.000000, 0.229000, 0.771000, 0.000000
0.000000, 209.066788, 7.194839, 0.931000, 1.000000, 0.000000, 0.370000, 0.630000, 0.000000
0.000000, 201.138351, 32.613319, 0.952000, 1.000000, 0.000000, 0.025000, 0.975000, 0.143000
0.000000, 160.656235, 18.629230, 0.991000, 1.000000, 0.000000, 0.250000, 0.750000, 0.187000
0.000000, 172.621384, 49.582737, 0.931224, 1.000000, 0.000000, 0.571000, 0.429000, 0.083000
0.000000, 201.168976, 53.046253, 0.942840, 1.000000, 0.000000, 0.743000, 0.257000, 0.000000
0.000000, 176.691895, 7.633423, 0.969000, 1.000000, 0.000000, 0.645000, 0.355000, 0.000000
