Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0,118.32489,48.318153,0.944,1,0,0,1,0.217
0,217.304077,2.863774,0.975,1,0,0,1,0
0,340.558441,0.051481,0.725483,0.966,0.034,0,0.966,0.167
0,205.941116,4.049115,0.97,1,0,0,1,0
0,355.430756,-0.921822,0.948667,1,0,0.022,0.978,0.177
0,124.679283,56.757275,0.89585,0.973,0.026,0.026,0.947,0.25
0,187.05896,44.453251,0.89208,1,0,0.029,0.971,0.062
0,127.213684,10.383039,0.674139,0.967,0.032,0.032,0.935,0.25
0,215.458603,47.211334,0.94276,1,0,0.039,0.961,0.3
0,163.966446,20.555168,0.954529,1,0,0.048,0.952,0.167
0,246.655273,14.100852,0.95,1,0,0.053,0.947,0.1
0,195.903641,65.007347,0.809209,1,0,0.059,0.941,0.061
0,163.82933,2.516356,0.956524,1,0,0.065,0.935,0.25
0,179.45723,53.074425,0.843689,1,0,0.074,0.926,0.24
0,183.479324,5.910838,0.984,1,0,0.079,0.921,0
0,238.334457,6.872319,0.998,0.96,0.04,0.079,0.881,0
0,178.983002,49.748367,0.898421,0.916,0.083,0.083,0.833,0.077
0,152.481476,42.857166,0.912672,1,0,0.097,0.903,0.034
0,177.666138,34.886021,0.90535,1,0,0.104,0.896,0.24
0,223.623825,21.650761,0.974,1,0,0.108,0.892,0
0,117.538452,30.732365,0.957,1,0,0.111,0.889,0.067
0,209.929352,15.342835,0.920221,1,0,0.116,0.884,0.222
0,182.089127,25.043741,0.846391,1,0,0.121,0.879,0.231
0,145.174332,63.154312,0.942841,1,0,0.125,0.875,0.167
0,196.923218,1.825907,0.738555,1,0,0.129,0.871,0.188
0,170.021408,57.772118,0.70928,1,0,0.136,0.864,0.25
0,230.030914,11.86759,0.977,1,0,0.143,0.857,0.026
0,138.871582,16.050966,0.838553,1,0,0.148,0.852,0.251
0,182.240067,1.800738,0.952,0.975,0.025,0.15,0.825,0.25
0,195.322906,57.618752,0.744475,1,0,0.157,0.843,0.043
0,242.952026,41.138649,0.825345,1,0,0.162,0.838,0.279
0,227.043671,11.850757,0.946053,1,0,0.167,0.833,0.062
0,224.052094,23.728849,0.907038,1,0,0.172,0.828,0.207
0,225.345764,41.910175,0.878131,0.945,0.056,0.167,0.778,0
0,168.968216,18.09584,0.9,0.917,0.083,0.167,0.75,0.25
0,187.059647,12.418159,0.747026,1,0,0.188,0.812,0.118
0,194.333389,23.796228,0.928332,1,0,0.192,0.808,0.071
0,198.164993,44.805923,0.953,1,0,0.195,0.805,0
0,359.007019,0.358086,0.767322,0.968,0.032,0.194,0.774,0.286
0,121.05484,55.397659,0.788597,0.879,0.121,0.182,0.697,0
0,206.29097,27.734161,0.943812,0.971,0.029,0.206,0.765,0
0,150.263168,20.498634,0.80511,0.86,0.14,0.186,0.674,0.25
0,239.308166,49.821045,0.936903,1,0,0.222,0.778,0.286
0,196.472855,28.112432,0.943,0.939,0.061,0.212,0.727,0.25
0,135.261856,25.071468,0.686205,1,0,0.229,0.771,0
0,224.607101,54.6357,0.956,1,0,0.233,0.767,0.167
0,175.203552,8.47453,0.976023,1,0,0.238,0.762,0.273
0,213.07901,19.980915,0.701339,0.936,0.065,0.226,0.71,0.167
0,146.628754,34.916836,0.98,0.96,0.04,0.24,0.72,0.188
0,179.059982,52.773178,0.954504,0.92,0.081,0.23,0.69,0.077
0,141.481659,4.696729,0.829397,0.911,0.088,0.235,0.676,0.25
0,118.848137,15.55893,0.996,1,0,0.262,0.738,0
0,203.376862,38.852596,0.912,0.968,0.032,0.258,0.71,0.1
0,220.10379,13.32033,1,1,0,0.27,0.73,0.133
0,127.110107,24.743551,0.854688,1,0,0.273,0.727,0.209
0,238.890823,28.564835,0.999,0.978,0.023,0.273,0.705,0.167
0,158.469132,0.734249,0.79459,0.889,0.111,0.25,0.639,0.055
0,167.692551,20.708336,0.783703,0.966,0.034,0.276,0.69,0.222
0,125.191963,16.645779,0.929152,0.95,0.05,0.275,0.675,0
0,146.23526,22.355198,0.958152,1,0,0.294,0.706,0
0,117.791252,19.441292,0.938912,0.925,0.075,0.275,0.65,0
0,243.758713,19.044228,0.836773,0.967,0.033,0.293,0.674,0.256
0,140.570816,8.464158,0.862092,0.859,0.14,0.263,0.596,0.089
0,155.515106,4.219877,0.892078,0.97,0.03,0.303,0.667,0
0,239.794083,5.19823,0.733,0.864,0.136,0.273,0.591,0.1
0,146.556244,14.416034,0.736804,1,0,0.32,0.68,0.254
0,115.580071,48.06646,0.897754,0.971,0.029,0.314,0.657,0.286
0,250.038864,34.253723,0.684,0.934,0.066,0.309,0.625,0.119
0,195.881714,7.967988,0.939,0.774,0.226,0.258,0.516,0
0,185.271881,49.128948,0.871212,0.971,0.029,0.324,0.647,0.286
0,190.522461,63.112629,0.971054,0.972,0.028,0.333,0.639,0
0,226.154449,48.738789,0.710899,0.963,0.037,0.333,0.63,0.077
0,132.3078,54.864822,0.913935,0.952,0.048,0.333,0.619,0.25
0,154.909531,57.418571,0.812614,0.972,0.029,0.343,0.629,0.148
0,128.262482,11.844069,0.865698,0.978,0.022,0.349,0.629,0.134
0,123.623421,57.494411,0.816624,0.961,0.038,0.346,0.615,0
0,221.359757,19.465719,0.947702,0.869,0.132,0.316,0.553,0.05
0,222.659973,23.158602,0.71828,0.982,0.017,0.36,0.622,0
0,168.641907,29.54512,0.806809,0.931,0.069,0.345,0.586,0
0,218.453781,3.236907,0.910608,0.976,0.024,0.366,0.61,0.25
0,154.907135,2.764122,0.765229,0.878,0.121,0.333,0.545,0.214
0,233.800049,33.198479,0.947102,0.919,0.081,0.351,0.568,0.062
0,147.76149,25.298248,0.936855,1,0,0.385,0.615,0.25
0,246.701813,14.310715,0.909689,1,0,0.39,0.61,0.2
0,205.615402,58.991768,0.973,0.917,0.083,0.361,0.556,0.25
0,243.379089,10.907282,0.923352,0.917,0.083,0.365,0.552,0.156
0,3.83076,-1.054326,0.749875,0.952,0.048,0.381,0.571,0.273
0,154.533554,30.998714,0.888,0.925,0.075,0.375,0.55,0.091
0,224.833756,7.570083,0.775004,0.871,0.129,0.355,0.516,0.118
0,214.98848,25.516258,0.818679,0.814,0.185,0.333,0.481,0
0,48.942589,-1.16884,0.921159,0.967,0.033,0.4,0.567,0.278
0,178.053696,55.513088,0.885644,0.96,0.04,0.4,0.56,0
0,230.288223,38.342049,0.895832,0.974,0.026,0.41,0.564,0.2
0,189.316528,4.030203,0.768859,0.867,0.133,0.367,0.5,0.172
0,219.827881,9.936633,0.78108,0.913,0.087,0.391,0.522,0
0,183.84346,28.068581,1,0.898,0.103,0.385,0.513,0.091
0,191.498962,58.784473,0.94965,0.972,0.028,0.42,0.552,0
0,150.868851,50.152554,0.805688,0.85,0.15,0.369,0.481,0
0,235.417755,35.010971,0.759651,0.842,0.158,0.368,0.474,0.043
0,337.555054,0.228416,0.933012,0.932,0.068,0.409,0.523,0
0,200.099884,44.486637,0.807944,0.895,0.105,0.395,0.5,0
0,114.817329,33.344788,0.830518,0.819,0.182,0.364,0.455,0.125
0,180.177292,-2.367514,0.976,0.95,0.05,0.425,0.525,0.25
0,125.14064,55.689697,0.892914,0.976,0.024,0.439,0.537,0.25
0,230.795364,7.566367,0.8502,0.912,0.088,0.412,0.5,0.182
0,222.92746,21.448784,0.852,0.957,0.043,0.435,0.522,0
0,140.59964,13.736856,0.98,0.959,0.042,0.438,0.521,0
0,22.244331,-0.948999,0.72696,0.75,0.25,0.344,0.406,0
0,211.5392,2.331116,0.731723,0.867,0.133,0.4,0.467,0.167
0,163.413269,14.299741,0.738054,0.903,0.097,0.419,0.484,0
0,150.734848,43.560642,0.969,0.968,0.032,0.452,0.516,0.25
0,200.938477,1.042055,0.844365,0.895,0.105,0.421,0.474,0.172
0,143.78981,28.221043,1,0.95,0.05,0.45,0.5,0
0,223.870193,9.452715,0.683984,0.808,0.192,0.385,0.423,0
0,186.959747,26.993526,0.900293,0.694,0.306,0.333,0.361,0.062
0,168.377335,59.949657,0.763,0.931,0.069,0.448,0.483,0.25
0,174.628601,45.831631,0.675971,0.907,0.094,0.438,0.469,0
0,207.0616,24.777746,0.782865,0.916,0.083,0.444,0.472,0.031
0,185.61116,36.612064,0.959,0.848,0.152,0.413,0.435,0.118
0,219.243637,19.76508,0.972,0.971,0.029,0.477,0.494,0
0,264.239594,59.200302,0.909,0.972,0.029,0.486,0.486,0
0,169.129791,7.152574,0.902275,0.71,0.29,0.71,0,0
0,250.551132,46.755413,0.755895,0.904,0.097,0.452,0.452,0
0,163.151825,33.430656,0.967,0.771,0.229,0.771,0,0
0,167.502777,56.80859,0.749494,0.852,0.148,0.852,0,0
0,227.225632,57.723534,0.899412,0.741,0.259,0.741,0,0
0,218.300934,16.937307,0.743634,0.896,0.103,0.448,0.448,0.308
0,228.064301,6.029338,0.771945,0.722,0.278,0.722,0,0
0,175.058075,24.697063,0.793195,0.786,0.214,0.393,0.393,0.121
0,165.897934,6.865996,0.999,0.935,0.065,0.478,0.457,0
0,155.807907,17.64156,0.999,0.875,0.125,0.45,0.425,0
0,120.790871,20.437729,0.706691,0.943,0.057,0.486,0.457,0
0,158.579407,3.406508,0.939,0.936,0.065,0.484,0.452,0
0,232.787857,25.245953,0.783231,1,0,0.519,0.481,0.273
0,259.196442,27.016682,0.6752,0.925,0.074,0.481,0.444,0.125
0,184.111328,10.895105,0.726786,0.875,0.125,0.458,0.417,0.182
0,126.438629,9.052745,0.674739,0.814,0.187,0.427,0.387,0
0,207.996521,48.124737,0.753852,0.76,0.24,0.4,0.36,0.031
0,224.74118,20.05275,0.974,0.973,0.027,0.514,0.459,0.167
0,211.070114,32.520668,0.818174,0.944,0.056,0.5,0.444,0.105
0,134.082825,33.618217,0.822865,0.864,0.135,0.459,0.405,0
0,231.133438,-2.063983,0.82216,0.81,0.189,0.432,0.378,0.312
0,239.987946,41.477791,0.968,0.933,0.067,0.5,0.433,0
0,8.465055,-0.74229,0.904752,0.684,0.316,0.368,0.316,0.143
0,230.820755,10.775815,0.967,0.897,0.103,0.483,0.414,0.25
0,265.108856,56.701267,0.90916,0.925,0.075,0.5,0.425,0.125
0,239.508255,34.332661,0.821142,0.888,0.111,0.481,0.407,0.308
0,192.755035,42.766422,0.798186,0.917,0.083,0.5,0.417,0
0,46.212669,-0.970357,0.823667,0.786,0.214,0.429,0.357,0.167
0,248.2827,21.728714,0.787,0.827,0.172,0.454,0.373,0.147
0,150.980087,23.251564,0.875154,0.807,0.193,0.445,0.362,0.287
0,155.71962,12.658879,0.915813,0.974,0.026,0.538,0.436,0
0,134.986939,36.384682,0.811051,0.711,0.289,0.395,0.316,0
0,183.354889,18.779871,0.949,0.973,0.027,0.541,0.432,0
0,222.728714,30.610754,0.798779,0.695,0.306,0.389,0.306,0
0,354.453735,0.570275,0.91956,1,0,0.562,0.438,0.269
0,171.297562,32.258831,0.894797,0.952,0.049,0.537,0.415,0.062
0,171.719605,64.844101,0.788765,0.766,0.233,0.433,0.333,0.182
0,243.32988,33.84454,0.951665,0.881,0.119,0.5,0.381,0
0,28.33864,0.920722,0.824986,0.849,0.152,0.485,0.364,0
0,182.937363,24.355167,0.764778,0.973,0.028,0.556,0.417,0
0,178.251251,55.096558,0.969,0.946,0.054,0.541,0.405,0
0,168.691452,23.404955,0.973026,0.868,0.132,0.5,0.368,0
0,186.448883,53.045956,0.971,0.789,0.212,0.456,0.333,0.11
0,170.321701,60.370747,0.931,0.705,0.296,0.409,0.296,0
0,147.955139,45.949589,0.934092,0.686,0.314,0.4,0.286,0
