Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0,172.114121,18.43162,0.925,0.714,0.286,0.673,0.041,0.2
0,179.605118,31.733212,0.712,0.714,0.286,0.571,0.143,0
0,204.339279,10.434146,0.934989,0.714,0.286,0.619,0.095,0.25
0,173.583557,2.773759,0.90321,0.715,0.286,0.679,0.036,0
0,165.549988,23.167227,0.946729,0.718,0.283,0.509,0.209,0.139
0,225.245422,50.460552,0.94965,0.718,0.282,0.615,0.103,0
0,140.52356,21.981474,1,0.719,0.281,0.649,0.07,0
0,243.65477,49.098591,0.713694,0.72,0.28,0.48,0.24,0.143
0,165.843277,34.107227,0.91443,0.721,0.279,0.605,0.116,0.125
0,230.830948,20.889162,0.692545,0.722,0.278,0.222,0.5,0
0,162.384552,4.573536,0.973,0.723,0.278,0.556,0.167,0.1
0,180.278442,51.412407,0.907046,0.724,0.276,0.621,0.103,0
0,210.94693,15.728489,0.74613,0.724,0.276,0.586,0.138,0
0,189.74852,13.743309,0.989,0.726,0.274,0.581,0.145,0
0,236.998596,10.079032,0.99,0.727,0.273,0.5,0.227,0.25
0,237.538757,4.568863,0.940012,0.728,0.273,0.576,0.152,0
0,129.331162,30.842049,0.948676,0.729,0.27,0.432,0.297,0
0,138.727875,5.552432,0.75295,0.73,0.27,0.568,0.162,0.25
0,225.992783,9.168567,0.963,0.731,0.269,0.231,0.5,0
0,213.995087,2.710299,0.93162,0.732,0.268,0.634,0.098,0.143
0,194.773331,11.479795,0.938,0.733,0.267,0.4,0.333,0
0,227.892181,27.057186,0.810509,0.734,0.267,0.667,0.067,0
0,171.115448,48.972454,0.965,0.735,0.265,0.676,0.059,0
0,198.715408,14.1837,0.728082,0.736,0.265,0.618,0.118,0.105
0,213.860916,10.066518,0.678744,0.737,0.263,0.579,0.158,0
0,121.311539,37.472557,0.977,0.738,0.262,0.714,0.024,0
0,240.475067,31.89205,0.982065,0.739,0.261,0.565,0.174,0
0,161.490478,32.453148,0.81792,0.739,0.261,0.609,0.13,0
0,200.773575,9.686571,0.818349,0.741,0.259,0.704,0.037,0.125
0,208.3936,12.874837,0.70334,0.741,0.259,0.667,0.074,0.271
0,133.723206,53.690464,0.919,0.742,0.258,0.677,0.065,0
0,195.973145,47.386478,0.853764,0.743,0.257,0.686,0.057,0.182
0,210.637207,9.079722,0.96714,0.744,0.257,0.658,0.086,0
0,203.061554,62.576748,0.951,0.744,0.256,0.667,0.077,0.25
0,151.207275,11.912943,0.78697,0.745,0.255,0.617,0.128,0.038
0,248.888245,27.318008,0.923037,0.75,0.25,0.719,0.031,0
0,201.18689,33.933071,0.80059,0.75,0.25,0.594,0.156,0
0,220.806381,16.44846,0.987,0.75,0.25,0.625,0.125,0
0,171.304199,60.111462,0.934122,0.75,0.25,0.607,0.143,0.273
0,255.574173,31.481241,0.799648,0.75,0.25,0.75,0,0
0,245.542526,44.304264,0.799768,0.75,0.25,0.5,0.25,0.143
0,154.701523,65.576637,0.755428,0.75,0.25,0.643,0.107,0.286
0,181.57576,20.612108,0.978,0.75,0.25,0.568,0.182,0
0,145.957794,28.722681,0.803061,0.755,0.245,0.58,0.175,0
0,159.05954,-0.159021,0.853785,0.756,0.244,0.488,0.268,0
0,127.105949,26.397354,0.786329,0.756,0.243,0.486,0.27,0.136
0,198.839828,1.92753,0.925,0.757,0.243,0.595,0.162,0.125
0,198.892761,14.559517,0.82535,0.758,0.242,0.667,0.091,0.286
0,239.79306,35.032883,0.953462,0.758,0.241,0.448,0.31,0
0,245.70842,43.005703,0.768545,0.759,0.241,0.638,0.121,0.25
0,114.404655,41.94706,0.936988,0.76,0.24,0.68,0.08,0
0,255.529343,39.973965,0.676363,0.762,0.238,0.714,0.048,0.2
0,143.809616,20.314877,0.909891,0.762,0.237,0.676,0.086,0
0,227.71135,13.130361,0.94965,0.764,0.237,0.711,0.053,0.294
0,159.836197,3.369233,0.971,0.765,0.235,0.706,0.059,0
0,120.390602,24.490185,0.772592,0.765,0.235,0.647,0.118,0.032
0,217.723068,11.236636,0.937992,0.766,0.233,0.633,0.133,0
0,180.191971,14.159552,0.977,0.767,0.233,0.651,0.116,0
0,203.957016,60.418015,0.935,0.768,0.233,0.605,0.163,0
0,317.323975,0.264601,0.681434,0.769,0.231,0.5,0.269,0
0,228.455444,27.753059,0.99,0.769,0.231,0.615,0.154,0
0,125.570877,50.38089,0.832595,0.771,0.229,0.571,0.2,0.211
