subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
14,SubjectSet_28/587726100948713678D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=218.50961695&dec=3.81060709&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587726100948713678&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j143402.30%2B034838.1&ob=ra,218.50961695,3.81060709
15,SubjectSet_28/587741603109470330D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=194.40185514&dec=28.07703764&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741603109470330&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j125736.44%2B280437.3&ob=ra,194.40185514,28.07703764
16,SubjectSet_28/587739132951658630S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=203.48243828&dec=36.88830749&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739132951658630&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j133355.78%2B365317.9&ob=ra,203.48243828,36.88830749
17,SubjectSet_28/588017726020059300D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=205.67467674&dec=7.51608504&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017726020059300&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j134241.92%2B073057.9&ob=ra,205.67467674,7.51608504
18,SubjectSet_28/587736478663508096D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=214.3863083&dec=11.4817852&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736478663508096&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141732.71%2B112854.4&ob=ra,214.3863083,11.4817852
19,SubjectSet_28/588017703485964500D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=223.23155504&dec=9.87509918&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017703485964500&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j145255.57%2B095230.3&ob=ra,223.23155504,9.87509918
20,SubjectSet_28/587738574605451498S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=194.35044016&dec=40.28983825&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738574605451498&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j125724.10%2B401723.4&ob=ra,194.35044016,40.28983825
21,SubjectSet_28/587733609627517227S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=247.77929335&dec=39.20530105&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587733609627517227&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j163107.03%2B391219.0&ob=ra,247.77929335,39.20530105
22,SubjectSet_28/587731187268190411D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=338.36314891&dec=0.73870217&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731187268190411&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j223327.15%2B004419.3&ob=ra,338.36314891,0.73870217
23,SubjectSet_28/587739376165847221D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=145.0883118&dec=27.70622071&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739376165847221&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j094021.19%2B274222.3&ob=ra,145.0883118,27.70622071
